mes,municipio,departamento,valorobservado,riesgo_humedad
2015-06,ZIPAQUIRÁ,CUNDINAMARCA,95.66330935251798,riesgo_alto_alta_humedad
2015-07,BARBACOAS,NARIÑO,97.77620396600567,riesgo_alto_alta_humedad
2015-07,CABRERA,CUNDINAMARCA,84.30847953216374,riesgo_moderado_alta_humedad
2015-07,CONTADERO,NARIÑO,69.92994505494505,óptimo
2015-07,GIRARDOT,CUNDINAMARCA,54.58736559139785,ligeramente_seco
2015-07,GUASCA,CUNDINAMARCA,93.45795691452398,riesgo_alto_alta_humedad
2015-07,LA CALERA,CUNDINAMARCA,11.49731182795699,riesgo_baja_humedad
2015-07,LENGUAZAQUE,CUNDINAMARCA,89.92098092643052,riesgo_moderado_alta_humedad
2015-07,MOSQUERA,CUNDINAMARCA,79.00709219858156,óptimo
2015-07,NEMOCÓN,CUNDINAMARCA,83.6994459833795,riesgo_moderado_alta_humedad
2015-07,PASCA,CUNDINAMARCA,84.75139664804469,riesgo_moderado_alta_humedad
2015-07,PASTO,NARIÑO,71.92242595204513,óptimo
2015-07,PUERRES,NARIÑO,28.367461430575034,riesgo_baja_humedad
2015-07,PUERTO SALGAR,CUNDINAMARCA,77.11366711772666,óptimo
2015-07,QUEBRADANEGRA,CUNDINAMARCA,67.4320987654321,óptimo
2015-07,SAN BERNARDO,CUNDINAMARCA,99.0,riesgo_alto_alta_humedad
2015-07,SAN CAYETANO,CUNDINAMARCA,74.52789115646259,óptimo
2015-07,TAMINANGO,NARIÑO,69.05405405405405,óptimo
2015-07,TÚQUERRES,NARIÑO,82.29098966026588,riesgo_moderado_alta_humedad
2015-07,VILLAPINZÓN,CUNDINAMARCA,1.0305555555555554,riesgo_baja_humedad
2015-07,VILLETA,CUNDINAMARCA,62.840816326530614,óptimo
2015-07,ZIPAQUIRÁ,CUNDINAMARCA,93.92392807745505,riesgo_alto_alta_humedad
2015-08,BARBACOAS,NARIÑO,98.12922173274596,riesgo_alto_alta_humedad
2015-08,CABRERA,CUNDINAMARCA,82.8158273381295,riesgo_moderado_alta_humedad
2015-08,CONTADERO,NARIÑO,60.166666666666664,óptimo
2015-08,GIRARDOT,CUNDINAMARCA,48.409946236559136,riesgo_baja_humedad
2015-08,GUASCA,CUNDINAMARCA,93.50068965517241,riesgo_alto_alta_humedad
2015-08,LA CALERA,CUNDINAMARCA,5.151881720430108,riesgo_baja_humedad
2015-08,LENGUAZAQUE,CUNDINAMARCA,84.84345479082322,riesgo_moderado_alta_humedad
2015-08,MOSQUERA,CUNDINAMARCA,78.30372492836676,óptimo
2015-08,NEMOCÓN,CUNDINAMARCA,84.39769452449568,riesgo_moderado_alta_humedad
2015-08,PASCA,CUNDINAMARCA,80.80985915492958,riesgo_moderado_alta_humedad
