mes,departamento,municipio,topografia,drenaje,cobre_disponible,hierro_disponible_olsen,zinc_disponible_olsen,boro_disponible,manganeso_disponible_olsen,acidez_kcl,ph_agua_suelo,conductividad_electrica,capacidad_de_intercambio_cationico,materia_organica,Numero_cultivos_Cafe
2015-12,BOYACÁ,TOGÜÍ,Plano,No indica,1.316,473.16,2.8182,0.329,2.7128,3.8480000000000003,4.756,0.3278,8.2976,11.015,5
2015-12,CAUCA,ARGELIA,No indica,No indica,3.340533333333333,103.13066666666667,4.989133333333333,0.194,6.703266666666667,0.49773333333333336,5.446666666666667,0.20346666666666666,7.5714,8.543800000000001,15
2015-12,CUNDINAMARCA,ARBELÁEZ,Ondulado,Buen drenaje,3.8808846153846157,439.60923076923075,6.868461538461539,0.2609230769230769,16.679192307692308,1.112423076923077,5.151769230769231,0.3872307692307692,8.781192307692308,3.8035384615384613,26
2015-12,CUNDINAMARCA,EL COLEGIO,Ondulado,Buen drenaje,1.0,257.005,4.1205,0.1885,4.741,0.619,5.385,0.324,6.5329999999999995,8.815999999999999,2
2015-12,CUNDINAMARCA,FUSAGASUGÁ,Ondulado,Regular drenaje,3.720947368421053,386.72736842105263,6.750315789473684,0.3111578947368421,12.521052631578948,1.6422105263157893,5.255736842105263,0.44547368421052636,11.423473684210526,4.511263157894737,19
2015-12,CUNDINAMARCA,NILO,Ondulado,Buen drenaje,1.3756315789473685,232.58052631578946,2.0900526315789474,0.31515789473684214,4.680684210526316,2.221,4.918842105263158,0.36273684210526314,9.722736842105263,8.000157894736843,19
2015-12,CUNDINAMARCA,PASCA,No indica,No indica,5.218,635.9,4.825,0.211,11.54,3.852,4.61,0.421,8.74,3.917,1
2015-12,CUNDINAMARCA,SAN BERNARDO,Plano,Buen drenaje,1.8998181818181819,402.75454545454545,3.534090909090909,0.3660909090909091,10.837090909090909,1.7748181818181819,4.893636363636364,0.3356363636363637,6.832,3.944727272727273,11
2015-12,CUNDINAMARCA,SILVANIA,Pendiente,Regular drenaje,3.8598125000000003,276.624375,5.9539375,0.28725,11.397124999999999,0.9201874999999999,5.411875,0.3194375,9.223749999999999,4.33975,16
2015-12,CUNDINAMARCA,TIBACUY,Ondulado,Buen drenaje,2.091767441860465,259.3190697674418,6.228872093023256,0.36297674418604653,9.080872093023256,0.864546511627907,5.404279069767442,0.4476279069767442,13.003209302325581,8.71232558139535,86
2015-12,CUNDINAMARCA,VENECIA,Ondulado,Regular drenaje,2.9667000000000003,201.113,5.6678,0.30619999999999997,8.5621,1.0988,5.368,0.3529,14.078,8.0735,10
2015-12,HUILA,ACEVEDO,Ondulado,Buen drenaje,1.509,96.56,2.982,0.176,9.68,2.286,4.809,0.207,3.031,2.732,1
2015-12,SANTANDER,BARBOSA,Ondulado,No indica,2.0015,850.8799999999999,2.1041,0.4159,4.5022,3.6108,4.759,0.3343,9.876999999999999,6.782900000000001,10
2015-12,SANTANDER,CHIPATÁ,Pendiente,No indica,2.581,342.4,7.234,0.379,7.2,1.903,4.849,0.271,14.78,3.732,1
2015-12,SANTANDER,GÜEPSA,Pendiente,No indica,2.3042,288.32399999999996,2.5987999999999998,0.5532,2.7326,1.0981999999999998,6.212,0.42780000000000007,18.6798,4.9686,5
2015-12,SANTANDER,SAN BENITO,Ondulado,No indica,3.3209999999999997,788.1500000000001,9.217,0.199,4.123,0.082,5.62,0.42600000000000005,17.695,5.723000000000001,2
2015-12,SANTANDER,SUAITA,Ondulado,No indica,1.601,449.8333333333333,2.504,0.5633333333333334,5.737333333333333,2.9346666666666668,4.916666666666667,0.30033333333333334,12.871,8.581333333333333,3
2015-12,VALLE DEL CAUCA,BUGALAGRANDE,Ligeramente ondulado,No indica,3.0220000000000002,80.705,1.6400000000000001,0.16399999999999998,3.427,0.0,5.92,0.159,20.495,2.408,2
2015-12,VALLE DEL CAUCA,SEVILLA,No indica,No indica,6.503,104.4,6.362,0.152,3.336,1.276,4.78,0.417,4.738,6.505,1
2015-12,VALLE DEL CAUCA,TRUJILLO,No indica,Buen drenaje,2.0073333333333334,84.34333333333333,1.6633333333333333,0.19200000000000003,2.1966666666666668,0.49833333333333335,5.503333333333334,0.36433333333333334,10.184,5.467666666666666,3
2016-01,BOYACÁ,CHITARAQUE,Pendiente,No indica,1.5958750000000002,408.85,3.599,0.152625,5.461,3.853875,4.616125,0.34875,8.692625,5.633125,8
2016-01,BOYACÁ,MONIQUIRÁ,Pendiente,No indica,2.0949999999999998,1204.44,2.746,0.1946,3.993,4.868,4.46,0.313,10.006,5.8144,5
2016-01,BOYACÁ,SAN JOSÉ DE PARE,Ondulado,No indica,2.1105,493.1375,3.52175,0.182,10.293875,2.618125,5.0175,0.29925,11.852500000000001,5.070375,8
2016-01,BOYACÁ,SANTANA,Ondulado,No indica,4.394,1106.9,10.515,0.065,9.9235,0.0,5.735,0.359,10.555,5.1935,2
2016-01,CUNDINAMARCA,GACHETÁ,Ligeramente ondulado,Regular drenaje,1.9245,410.65,4.364,0.4095,14.06,0.2055,5.535,0.2255,8.931000000000001,5.3385,2
2016-01,HUILA,LA PLATA,No indica,No indica,1.78652,195.1724,2.7992399999999997,0.26546,18.28154,0.50847,5.184539999999999,0.7414499999999999,10.71336,5.23597,100
2016-01,HUILA,NÁTAGA,No indica,No indica,1.3827099999999999,317.3427,2.24873,0.23364000000000001,11.15856,2.46087,4.84281,0.6034299999999999,9.61164,8.86308,100
2016-01,SANTANDER,BARBOSA,Ondulado,No indica,1.649,529.1,2.0273333333333334,0.085,2.374333333333333,2.614333333333333,5.039666666666666,0.233,10.688333333333333,4.501666666666666,3
2016-01,SANTANDER,CHIPATÁ,Pendiente,No indica,2.8414,317.5,7.527600000000001,0.28600000000000003,7.765600000000001,0.9808,5.8058,0.40540000000000004,20.506,6.241,5
2016-01,SANTANDER,SUAITA,Ondulado,No indica,4.109,404.2,1.155,0.274,5.444,1.589,5.0,0.283,9.163,4.352,1
2016-01,TOLIMA,DOLORES,Ondulado,Buen drenaje,1.0071999999999999,211.56,1.0,0.2556,1.2598,5.9234,4.726000000000001,0.1346,7.083800000000001,3.7601999999999998,5
2016-02,CUNDINAMARCA,BITUIMA,Pendiente,Buen drenaje,1.346,70.79,2.209,0.178,2.046,0.0,5.84,0.212,9.475,7.467,1
2016-02,CUNDINAMARCA,VIOTÁ,Plano,Buen drenaje,1.0,117.44333333333334,1.0,0.25433333333333336,1.922,1.0919999999999999,4.999666666666666,0.36333333333333334,14.195333333333332,11.479,3
2016-02,NARIÑO,SAN PABLO,Plano,Buen drenaje,3.471,148.0,1.69,0.316,4.718,2.273,4.94,0.256,6.291,13.13,1
2016-02,VALLE DEL CAUCA,CALI,Pendiente,Mal drenaje,7.375,196.1,4.708,0.527,9.972,0.289,5.25,0.213,18.02,5.424,1
2016-03,CUNDINAMARCA,LA PALMA,Ondulado,Buen drenaje,1.0,24.95,1.0,0.09,1.0,0.186,5.44,0.153,1.13,10.62,1
2016-03,CUNDINAMARCA,SAN JUAN DE RIOSECO,Ondulado,Buen drenaje,2.128,59.94,3.265,0.053,2.222,0.178,6.06,0.18,16.44,1.674,1
2016-03,HUILA,NEIVA,Ondulado,Buen drenaje,1.0,218.8,1.149,0.096,5.485,1.846,5.059,0.271,5.272,6.797,1
2016-03,HUILA,SUAZA,Pendiente,Buen drenaje,1.0,597.7,1.026,0.435,1.724,4.3,4.45,0.31,6.42,6.817,1
2016-04,CUNDINAMARCA,CHAGUANÍ,Ondulado,Buen drenaje,1.6039999999999999,157.4,2.0473333333333334,0.2926666666666667,4.199333333333333,1.2526666666666666,5.123333333333334,0.2416666666666667,6.91,5.261,3
2016-04,CUNDINAMARCA,GUAYABAL DE SÍQUIMA,Pendiente,Buen drenaje,2.921,86.33,2.402,0.369,1.53,0.755,5.29,0.313,13.69,1.859,1
2016-04,CUNDINAMARCA,VILLETA,Ondulado,Buen drenaje,3.7090000000000005,342.0,53.620000000000005,0.4275,1.0845,0.0,5.9399999999999995,0.2245,34.755,4.0585,2
2016-04,HUILA,CAMPOALEGRE,Pendiente,Buen drenaje,1.151,98.66,1.0,0.294,2.444,0.0,5.96,0.17,10.81,1.995,1
2016-04,NARIÑO,TAMINANGO,Pendiente,Buen drenaje,2.579,43.84,1.0,0.199,2.015,0.0,6.19,0.165,10.93,0.986,1
2016-04,TOLIMA,PLANADAS,Pendiente,Buen drenaje,1.996,144.8,1.575,0.146,3.764,0.0,5.82,0.354,11.11,2.862,1
2016-05,CUNDINAMARCA,CHAGUANÍ,Plano,Regular drenaje,1.728,87.01,1.0,0.171,2.713,9.565,5.13,0.359,12.32,1.169,1
2016-05,CUNDINAMARCA,SAN JUAN DE RIOSECO,Ondulado,Regular drenaje,1.0,228.0,1.081,0.267,7.387,2.73,4.769,0.199,6.22,1.958,1
2016-05,CUNDINAMARCA,VIANÍ,Ondulado,Buen drenaje,1.491,154.20000000000002,7.51,0.20550000000000002,9.783999999999999,6.56,5.165,0.22999999999999998,23.99,1.7369999999999999,2
2016-05,HUILA,BARAYA,Ondulado,Buen drenaje,1.426,581.8,1.024,0.352,3.984,4.125,4.2,0.425,5.96,5.215,1
2016-05,VALLE DEL CAUCA,GUACARÍ,Pendiente,Buen drenaje,4.995,138.7,4.036,0.164,21.85,0.0,5.72,0.338,11.61,5.64,1
2016-06,CAUCA,MORALES,Pendiente,Regular drenaje,1.466,99.07,1.436,0.181,1.0,0.656,5.16,0.135,2.166,8.109,1
2016-06,CUNDINAMARCA,ANOLAIMA,Pendiente,Regular drenaje,2.04,511.3,2.582,0.316,2.98,8.354,4.599,0.231,15.06,2.118,1
2016-06,CUNDINAMARCA,BITUIMA,Pendiente,Buen drenaje,1.582,187.0,13.1,0.292,6.101,0.0,5.99,0.2,11.74,3.014,1
2016-06,CUNDINAMARCA,CHAGUANÍ,Ondulado,Buen drenaje,2.852,268.2,9.631,0.156,6.036,0.0,5.52,0.266,10.19,3.488,1
2016-06,CUNDINAMARCA,GUADUAS,Pendiente,Buen drenaje,2.2,88.72,2.685,0.378,9.902,5.321,4.98,0.144,10.08,0.63,1
2016-06,HUILA,CAMPOALEGRE,Pendiente,Buen drenaje,1.698,59.8,1.905,0.333,2.021,0.0,6.33,0.152,7.737,2.26,1
2016-06,HUILA,HOBO,Ondulado,Buen drenaje,1.272,59.65,1.274,0.216,2.359,0.0,5.94,0.173,12.84,2.52,1
2016-06,HUILA,NEIVA,Pendiente,Buen drenaje,5.333,247.3,1.908,0.169,3.783,1.375,5.099,0.58,6.244,2.59,1
2016-06,SANTANDER,SUAITA,Pendiente,Buen drenaje,1.613,642.3,1.568,0.243,1.579,7.017,4.32,0.216,9.399,1.74,1
